URL,MODEL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/no-tai-benh-vien-tra-vinh-xuat-phat-tu-hop-banh-cua-nguoi-tham-benh-post1823965.tpo,gpt4o-mini,0.1822,0.1546,0.1488,0.0043,0.5714,3783,17.6300,1263
https://tienphong.vn/giam-doc-cong-an-ha-noi-som-su-dung-thiet-bi-bay-khong-nguoi-lai-giam-sat-an-ninh-post1823927.tpo,gpt4o,0.3075,0.2568,0.2096,0.0471,,5620,28.3700,1871
https://tienphong.vn/giam-doc-cong-an-ha-noi-som-su-dung-thiet-bi-bay-khong-nguoi-lai-giam-sat-an-ninh-post1823927.tpo,gpt4o-mini,0.0979,0.0843,0.0896,0.0001,,2922,10.1000,1668
https://tienphong.vn/vu-bv-bach-mai-viet-duc-co-so-2-de-nghi-bo-quoc-phong-dieu-tra-4-doanh-nghiep-post1823923.tpo,gpt4o,0.3279,0.2988,0.2325,0.0715,0.6734,6543,30.3100,1970
https://tienphong.vn/vu-bv-bach-mai-viet-duc-co-so-2-de-nghi-bo-quoc-phong-dieu-tra-4-doanh-nghiep-post1823923.tpo,gpt4o-mini,0.2308,0.1976,0.1778,0.0194,0.7115,6868,22.1300,1873
https://tienphong.vn/bat-18-quai-xe-mang-hung-khi-gay-nao-loan-duong-pho-post1823889.tpo,gpt4o,0.4969,0.3559,0.3113,0.1478,0.6082,4747,47.7100,1341
https://tienphong.vn/bat-18-quai-xe-mang-hung-khi-gay-nao-loan-duong-pho-post1823889.tpo,gpt4o-mini,0.3569,0.2646,0.2484,0.0716,0.6145,4972,35.4800,1269
https://tienphong.vn/cuc-canh-sat-hinh-su-pha-duong-day-mua-ban-gan-than-tien-ty-post1823846.tpo,gpt4o,0.2636,0.2189,0.1659,0.0225,0.5664,3590,24.5600,1830
https://tienphong.vn/cuc-canh-sat-hinh-su-pha-duong-day-mua-ban-gan-than-tien-ty-post1823846.tpo,gpt4o-mini,0.1530,0.1219,0.1114,0.0019,0.5873,4839,14.5700,1719
https://tienphong.vn/bat-nhom-doi-tuong-gay-roi-dam-chet-nguoi-sau-tiec-lien-hoan-post1823754.tpo,vit5,0.3779,0.3741,0.3779,0.1958,0.8942,10801,38.0000,
https://tienphong.vn/bat-nhom-doi-tuong-gay-roi-dam-chet-nguoi-sau-tiec-lien-hoan-post1823754.tpo,gpt4o,0.6567,0.4758,0.3779,0.1403,0.6537,6431,60.3000,1226
https://tienphong.vn/bat-nhom-doi-tuong-gay-roi-dam-chet-nguoi-sau-tiec-lien-hoan-post1823754.tpo,gpt4o-mini,0.3226,0.1894,0.1912,0.0100,0.5414,3376,27.3900,1069
https://tienphong.vn/nhom-doi-tuong-sam-bo-dam-dong-gia-cong-an-di-xu-ly-vi-pham-giao-thong-post1823786.tpo,gpt4o,0.3925,0.3120,0.2819,0.0825,0.6002,9639,37.3900,1283
https://tienphong.vn/nhom-doi-tuong-sam-bo-dam-dong-gia-cong-an-di-xu-ly-vi-pham-giao-thong-post1823786.tpo,gpt4o-mini,0.3692,0.2808,0.2383,0.0591,0.6076,4275,32.6600,1254
https://tienphong.vn/cam-keo-xong-vao-tiem-lam-mong-cuop-day-chuyen-post1823792.tpo,vit5,0.6335,0.6320,0.6335,0.5467,0.8937,3971,69.2600,
https://tienphong.vn/cam-keo-xong-vao-tiem-lam-mong-cuop-day-chuyen-post1823792.tpo,gpt4o,0.7769,0.5280,0.4183,0.2770,0.5952,3970,74.6600,988
https://tienphong.vn/cam-keo-xong-vao-tiem-lam-mong-cuop-day-chuyen-post1823792.tpo,gpt4o-mini,0.4861,0.3200,0.3227,0.1037,0.5823,3133,40.2000,884
https://tienphong.vn/truy-duoi-ngan-tau-ca-nghi-vi-pham-iuu-tren-bien-tay-nam-post1823798.tpo,gpt4o,0.3825,0.3049,0.3082,0.0950,0.6646,5007,35.7500,1500
https://tienphong.vn/truy-duoi-ngan-tau-ca-nghi-vi-pham-iuu-tren-bien-tay-nam-post1823798.tpo,gpt4o-mini,0.2948,0.2573,0.2448,0.0446,0.6640,3819,25.9900,1425
https://tienphong.vn/my-va-israel-tan-cong-iran-thi-truong-dau-mo-co-the-doi-mat-noi-lo-so-toi-te-nhat-post1824011.tpo,gpt4o,0.2081,0.1803,0.1518,0.0092,0.6608,11665,18.8300,2713
https://tienphong.vn/my-va-israel-tan-cong-iran-thi-truong-dau-mo-co-the-doi-mat-noi-lo-so-toi-te-nhat-post1824011.tpo,gpt4o-mini,0.1564,0.1388,0.1117,0.0012,0.6344,5141,13.9500,2619
https://tienphong.vn/ruoc-bien-dat-bo-ngu-dan-quang-tri-boi-thu-post1823995.tpo,gpt4o,0.3981,0.3216,0.2982,0.0973,0.6626,7643,39.3500,1507
https://tienphong.vn/ruoc-bien-dat-bo-ngu-dan-quang-tri-boi-thu-post1823995.tpo,gpt4o-mini,0.2888,0.2189,0.2092,0.0256,0.6474,9801,27.2200,1414
